Entity,variable,value
the 20th century,Label,DATE
Historic,Label,PERSON
the 20th century,Label,DATE
the beginning of the century,Label,DATE
World War II,Label,EVENT
the end of the century,Label,DATE
Paragraphs,Label,PERSON
1-minute,Label,TIME
"Thursday, December 26",Label,DATE
Wikipedia,Label,ORG
this year,Label,DATE
at least $2.75,Label,MONEY
just 2%,Label,PERCENT
2.75,Label,MONEY
today,Label,DATE
a few hours,Label,TIME
nearly 25 years,Label,DATE
Wikipedia,Label,ORG
Wikipedia,Label,ORG
today,Label,DATE
Wikipedia,Label,ORG
2.75,Label,MONEY
2.75,Label,MONEY
monthly,Label,DATE
1,Label,MONEY
all year,Label,DATE
Wikipedia,Label,ORG
sisterÂ,Label,CARDINAL
Donor-Advised Fund,Label,ORG
DAF,Label,ORG
The 20th century,Label,DATE
The World Wars,Label,ORG
the Cold War,Label,EVENT
the Space Race,Label,ORG
the World Wide Web,Label,EVENT
the 21st century,Label,DATE
today,Label,DATE
the 20th century,Label,DATE
The 1900s,Label,DATE
the decade,Label,DATE
1914,Label,CARDINAL
the Panama Canal,Label,FAC
1914 to 1918,Label,DATE
the First World War,Label,EVENT
The First World War,Label,ORG
WWI,Label,ORG
The Great War,Label,WORK_OF_ART
Jul-14,Label,DATE
Nov-18,Label,DATE
Sarajevo,Label,GPE
the Austro-Hungarian Empire's,Label,FAC
Erzherzog Franz Ferdinand,Label,PERSON
Gavrilo Princip,Label,PERSON
Young Bosnia,Label,FAC
the July Crisis,Label,EVENT
the end of July 1914,Label,DATE
the British Empire,Label,GPE
France,Label,GPE
the Russian Empire,Label,GPE
the Central Powers,Label,ORG
the German Empire,Label,GPE
Austria,Label,GPE
Hungary,Label,GPE
1917,Label,DATE
Russia,Label,GPE
the Central Powers,Label,ORG
Tsar,Label,GPE
Bolsheviks,Label,GPE
Germany,Label,GPE
Russia,Label,GPE
Bolshevik Russia,Label,ORG
Baltic,Label,LOC
Germany,Label,GPE
Kars Oblast,Label,LOC
the South Caucasus,Label,LOC
the Ottoman Empire,Label,GPE
Germany,Label,GPE
Allied,Label,ORG
American,Label,NORP
1918.[4,Label,CARDINAL
Germans,Label,NORP
British,Label,NORP
1918,Label,DATE
the next twenty years,Label,DATE
First,Label,ORDINAL
Germans,Label,NORP
the Treaty of Versailles,Label,WORK_OF_ART
Germans,Label,NORP
Germany,Label,GPE
Allied,Label,ORG
Kaiser,Label,GPE
Europe,Label,LOC
New states,Label,GPE
Yugoslavia,Label,GPE
Czechoslovakia,Label,GPE
Austro-Hungarian Empire,Label,ORG
the League of Nations,Label,ORG
The Russian Revolution of,Label,EVENT
1917,Label,DATE
Tsarist,Label,NORP
Nicholas II,Label,PERSON
Europe,Label,LOC
European,Label,NORP
Vladimir Lenin,Label,PERSON
1924,Label,DATE
a few years,Label,DATE
Joseph Stalin,Label,PERSON
Leon Trotsky,Label,PERSON
the Soviet Union,Label,GPE
Stalin,Label,PERSON
one,Label,CARDINAL
socialists,Label,NORP
Stalin,Label,PERSON
1929,Label,DATE
the Great Depression,Label,EVENT
first,Label,ORDINAL
the Soviet Union's,Label,GPE
the 1930s,Label,DATE
World War I,Label,EVENT
the 1920s,Label,DATE
29,Label,CARDINAL
the end of the decade,Label,DATE
millions,Label,CARDINAL
Democratic,Label,NORP
two,Label,CARDINAL
the rest of the century,Label,DATE
first,Label,ORDINAL
Italy,Label,GPE
Benito Mussolini,Label,ORG
1922.[23,Label,CARDINAL
Hitler,Label,PERSON
Germany,Label,GPE
1933,Label,DATE
Nazism,Label,NORP
Germany,Label,GPE
German,Label,NORP
The Nazi Party,Label,ORG
Germany,Label,GPE
German,Label,NORP
German,Label,NORP
Central and Eastern Europe,Label,LOC
Slavic,Label,NORP
German,Label,NORP
Germans,Label,NORP
Herrenvolk,Label,FAC
Jews,Label,NORP
Untermensch,Label,ORG
Western Europe,Label,LOC
the United States,Label,GPE
Hitler,Label,PERSON
Germany,Label,GPE
the Great Depression,Label,EVENT
Jews,Label,NORP
Hitler,Label,PERSON
Austria,Label,GPE
Austria,Label,GPE
Germany,Label,GPE
1938.[29,Label,CARDINAL
Sudetenland,Label,ORG
German,Label,NORP
Czechoslovakia,Label,GPE
Munich,Label,GPE
British,Label,NORP
Hitler,Label,PERSON
Czech,Label,NORP
Hitler,Label,PERSON
Czech,Label,NORP
Eastern Europe,Label,LOC
Spain,Label,GPE
Francisco Franco,Label,PERSON
the Spanish,Label,EVENT
Totalitarian,Label,NORP
the Holocaust Adolf Hitler,Label,ORG
European,Label,NORP
Jews,Label,NORP
the Great Purge Stalin,Label,EVENT
the Soviet Union,Label,GPE
the 1930s,Label,DATE
World War II,Label,EVENT
Europe,Label,LOC
Czechoslovakia,Label,GPE
Britain,Label,GPE
France,Label,GPE
Poland,Label,GPE
Hitler,Label,PERSON
World War II,Label,EVENT
1-Sep-39,Label,DATE
Hitler,Label,PERSON
Blitzkrieg,Label,PERSON
Poland,Label,GPE
Britain,Label,GPE
France,Label,GPE
Hitler,Label,PERSON
Germany,Label,GPE
Poland,Label,GPE
Sixteen days later,Label,DATE
Poland,Label,GPE
East,Label,LOC
Soviet Union,Label,GPE
Nazi,Label,NORP
only a few weeks,Label,DATE
Polish,Label,NORP
London,Label,GPE
Polish,Label,NORP
World War II,Label,EVENT
Germans,Label,NORP
German,Label,NORP
Wehrmacht,Label,ORG
German,Label,NORP
Encirclement,Label,PERSON
the Second World War,Label,EVENT
Hitler,Label,PERSON
Poland,Label,GPE
the Soviet Union,Label,GPE
Joseph Stalin,Label,PERSON
USSR,Label,GPE
Germany,Label,GPE
Stalin,Label,NORP
Baltic,Label,NORP
Estonia,Label,GPE
Latvia,Label,GPE
Lithuania,Label,GPE
Eastern Poland,Label,LOC
Soviet,Label,NORP
Stalin,Label,PERSON
Finland,Label,GPE
Soviet,Label,NORP
the Red Army,Label,ORG
Finnish,Label,NORP
the Winter War,Label,EVENT
Finns,Label,NORP
Germany,Label,GPE
the Soviet Union,Label,GPE
1941.[39,Label,CARDINAL
Poland,Label,GPE
the Phony War,Label,EVENT
the winter of 1939â€“1940,Label,DATE
10-May-40,Label,DATE
Germans,Label,NORP
the Low Countries (Belgium,Label,ORG
Netherlands,Label,GPE
Luxembourg,Label,GPE
the Maginot Line,Label,FAC
Eben Emael,Label,PERSON
Belgian,Label,NORP
600,Label,CARDINAL
Belgians,Label,NORP
only 88,Label,CARDINAL
German,Label,NORP
